事件名,事件显示名
learnMore,learnMore
bankTransClick,bankTransClick
statTradeBubbleSwitch,statTradeBubbleSwitch
orderTypeUse,orderTypeUse
Inforefine_Pageview_Duration,Inforefine_Pageview_Duration
assetManageAreaPageView,assetManageAreaPageView
videoLiveStreamerStat,videoLiveStreamerStat
statQuoteTechIndex,statQuoteTechIndex
Inforefine_Click,Inforefine_Click
openShowOperation,openShowOperation
codeSetDone,codeSetDone
homeFuncClick,homeFuncClick
toProductHome,toProductHome
pointproductView,pointproductView
productClick_txhy,productClick_txhy
homeHotTopicClick,homeHotTopicClick
statTCXYPageView,statTCXYPageView
FXCP_Step_Click,FXCP_Step_Click
accountOpenRegisterDone,accountOpenRegisterDone
pageView_txhy,pageView_txhy
statRoadShowView,statRoadShowView
listRefreshClick,listRefreshClick
DT_Pageview_Duration,DT_Pageview_Duration
tchReadConvertion,tchReadConvertion
riskTestDone,riskTestDone
H5SpecialActivityFuncClick,H5SpecialActivityFuncClick
CHotBK,CHotBK
finMallV2ProductClick,finMallV2ProductClick
LC_Purchase_Pageview_Duration,LC_Purchase_Pageview_Duration
statDefaultTradePrice,statDefaultTradePrice
statInfoClick_App,statInfoClick_App
mallHomeDTAreaClick,mallHomeDTAreaClick
accountLoginView,accountLoginView
activityBrowse,activityBrowse
statInfoView_H5,statInfoView_H5
IDcardUploadDone,IDcardUploadDone
statTCXYFuncClick,statTCXYFuncClick
squareFollowedHomePageView,squareFollowedHomePageView
tchPageView,tchPageView
tchAccountVisit,tchAccountVisit
opsFuncClick,opsFuncClick
pensionAreaProductClick,pensionAreaProductClick
videoLiveFuncClick,videoLiveFuncClick
infoShareClick,infoShareClick
FXCP_Pageview_Duration,FXCP_Pageview_Duration
tabView,tabView
selectFundOption,selectFundOption
moduleClick_txhy,moduleClick_txhy
durationStay,durationStay
extDataDone,extDataDone
pensionAreaLogin,pensionAreaLogin
CAction,通用点击
homeHotStockClick,homeHotStockClick
CTrade,CTrade
stockDetailView,stockDetailView
tchColumnPostViewDuration,tchColumnPostViewDuration
registerDone,registerDone
commonEntrustPageClick,commonEntrustPageClick
homeVideoClick,homeVideoClick
tradeLoginBtnClick,tradeLoginBtnClick
questionnaireDone,questionnaireDone
communityFuncClick,communityFuncClick
tradeSettingsFuncClick,tradeSettingsFuncClick
toProductList,toProductList
LC_Productdetail_Pageview,LC_Productdetail_Pageview
privateBankAreaPageView,privateBankAreaPageView
homeGlobalIndexClick,homeGlobalIndexClick
ProductlistTabclick,ProductlistTabclick
statRequestOpsFirstLaunch,statRequestOpsFirstLaunch
customDialogView,customDialogView
assetManageAreaInfoClick,assetManageAreaInfoClick
H5SpecialActivityPageView,H5SpecialActivityPageView
OnPage,OnPage
CLaunchTime,CLaunchTime
infoH5FuncClick,infoH5FuncClick
pointexchangeLaunch,pointexchangeLaunch
statSysNotificationSwitch,statSysNotificationSwitch
homeOptionalInfoTypeClick,homeOptionalInfoTypeClick
customDialogBtnClick,customDialogBtnClick
Popup_Click,Popup_Click
tradeLoginLogV2,tradeLoginLogV2
statMineNewCustomerClick,statMineNewCustomerClick
messageCenter,messageCenter
tchFuncClick,tchFuncClick
statCpuAbi,statCpuAbi
positionListMenuFuncClick,positionListMenuFuncClick
assetManageAreaFuncClick,assetManageAreaFuncClick
pensionAreaVideoInfoClick,pensionAreaVideoInfoClick
CHotStock,CHotStock
infoView,infoView
quickTradeFuncClick,quickTradeFuncClick
accountOpenView,accountOpenView
statPZBFuncClick,statPZBFuncClick
optionalMgmtDialogClick,optionalMgmtDialogClick
FXCP_Evaluationresults_Click,FXCP_Evaluationresults_Click
vedioAuthDone,vedioAuthDone
TCQBOperation,TCQBOperation
CQTrade,CQTrade
FXCP_Questionnaire_Pageview,FXCP_Questionnaire_Pageview
CMain,CMain
CHotOption,CHotOption
LC_Productdetail_Click,LC_Productdetail_Click
mallH5HotThemeFundClick,mallH5HotThemeFundClick
CAppLaunch,CAppLaunch
assetManageAreaProductClick,assetManageAreaProductClick
searchClick,searchClick
kcbCoAnalysisClick,kcbCoAnalysisClick
minuteKlineSettingFuncClick,minuteKlineSettingFuncClick
toSecondMenu,toSecondMenu
productSearch,productSearch
level2SpecialAreaFuncClick,level2SpecialAreaFuncClick
CQuote,CQuote
F10PageView,F10PageView
htPageViewDuration,htPageViewDuration
accountSelectDone,accountSelectDone
stockDetailOperation,stockDetailOperation
level2SpecialAreaPageView,level2SpecialAreaPageView
statNewsReading,statNewsReading
minePageFuncClick,minePageFuncClick
CSZXXUUID,CSZXXUUID
DT_Typeselect_Click,DT_Typeselect_Click
registerView,registerView
finMallCubeProductClick,finMallCubeProductClick
escrowDone,escrowDone
CBH,CBH
videoLiveUserStat,videoLiveUserStat
finMallV3FuncClick,finMallV3FuncClick
ETFSpecialThemePageDuration,ETFSpecialThemePageDuration
Inforefine_Pageview,Inforefine_Pageview
iOSAttributionUpload,iOSAttributionUpload
branchSelectDone,branchSelectDone
toProductDetail,toProductDetail
bannerClick,bannerClick
CMall,CMall
shortTermElvesStockClick,shortTermElvesStockClick
agreementDone,agreementDone
homeTCQArticleClick,homeTCQArticleClick
exposPage,exposPage
